MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
STAM-1 acetaldehyde<|>STAM-1MeCHO,LUDKOM,Water Stability,Unstable,,"1. Considering the previously-observed high-pressure results with alcohols, amines, acetonitrile and acetaldehyde, it is clear that the presence of water is responsible for the crystal decomposition. 2. Given the energetically unfavourable nature of the interaction between water and ester groups, we attribute the crystal decomposition to a pressure-induced hydrolysis of the methyl ester groups within the hydrophobic pores.",10.1039/c3nr04161a
HKUST-1<|>Cu3(BTC)2<|>compound 1,LUDLED,Water Stability,Stable,,"Under ambient conditions, the crystal of HKUST-1 contained approximately 102 residual water molecules per unit cell in the pores. On increasing pressure to 0.2 GPa, there was an initial increase in the pore content to 206 water molecules. The crystal quality and data resolution, however, declined substantially on increasing pressure further to 0.4 GPa, allowing only unit cell dimensions to be extracted from these data. With the increase in pore content, there was also an accompanying increase in unit cell volume and axes lengths, all of which is in keeping with previous work performed on HKUST-1. The crystal then became amorphous above 0.4 GPa but no physical evidence of decomposition was observed in the crystal. We believe that an analogous STAM-1 decomposition is prevented in HKUST-1 due to the full Cu paddle wheel connectivity through all three carboxylate groups on each BTC linker (i.e. there is no ester group in HKUST-1 for the water to react with).",10.1039/c3nr04161a
[Ca(BDC-F4)(MeOH)2]n<|>Complex 2,GONTAG,Water Stability,Unstable,,"Complex 1 exhibits higher water solubility compared to 2, and further dissolution of 1 in water results in a new achiral crystal, [Ca(BDC-F4)(H2O)4]n (3).",10.1039/C4CE01019A
[Ca(BDC-F4)(H2O)4]n<|>Complex 3,GONTEK,Water Stability,Unstable,,"Complex 3 is described as having a high water solubility of ca. 180 mg mL−1, indicating it is soluble in water. Additionally, the document states that the procedure of water-induced structural conversion from 1 to 3 is irreversible, suggesting a change in properties upon exposure to water.",10.1039/C4CE01019A
(C4H7N2)[(UO2)5(PO4)3(HPO4)(H2O)2]·3H2O<|>compound 5,QOFPAE,Water Stability,Unstable,,These crystals repeatedly transitioned into an amorphous powder material over the course of 12–24 hours after they were separated from the product material.,10.1039/C4CE00270A
Nic·CaCl2<|>Nic·CaCl2·H2O<|>Nic2·CaCl2·2H2O<|>Nic·CaCl2·4H2O,KOPBIC,Water Stability,Unstable,,"The anhydrous phase is known to convert into the monohydrated ICC in a matter of hours, and the major peaks of Nic·CaCl2·H2O at ~10.5°, ~15° and 17.7° were indeed present in the powder pattern. The anhydrous Nic·CaCl2 ICC was obtained by heating Nic·CaCl2·H2O at 150 °C overnight. The stability of the anhydrous Nic·CaCl2 has been tested at different relative humidity environments. The anhydrous phase Nic·CaCl2 was estimated to be more than 80 wt% from the Rietveld analysis after 2 weeks at 12% RH, while a full transformation to Nic·CaCl2·H2O was found to occur in a few hours at higher RH values.",10.1039/C4CE00464G
[Cd2(TBA)2(bipy)(DMA)2]<|>compound 1,VOTKEW,Water Stability,Stable,,"Compound 1 possesses the advantages of good water stability and exceptional thermal stability; it can retain framework crystallinity when it was suspended in water vapor for 10 hours. The as-synthesized compound 1 shows good stability in the water vapor, which can be suspended in water vapor for 10 h without losing crystallinity.",10.1039/C4RA16599C
[Cu2(m-OH)2(bdim)]5.4H2O<|>1<|>MAF-35,WIRMUH,Water Stability,Unstable,,"When 1 was soaked in H2O or exposed in saturated H2O vapour, the resulting sample also showed a PXRD pattern similar to that of 2, but it easily lost partial guest molecules in air to transform back to 1 (Fig. S4, ESI†). These observations demonstrated that the framework structure of [Cu2(m-OH)2(bdim)] expanded to a structure similar to that of 2 (hereafter denoted as 10) when it was guest-free or saturated by guest molecules, but adopted the narrow pore phase 1 with partial guest loading.",10.1039/C3CC46597G
{[Zn(tmtz)(H2O)4][Zn2(tmtz)2(sip)2]$3H2O}n<|>1,QITXAU,Water Stability,Stable,,"The degradation experiment of methyl orange (MO) was tracked by visible spectroscopy and the results are depicted in Fig. 3. It was found that the degradation rates of MO are 70.4% and 50.2% at 360 min in the present of 1 or 2. However, when the research was conducted in the blank experiment, the degradation efficiency of the reaction was reduced to 31.9% in 360 min. Clearly, 1 and 2 are effective catalysts for the degradation of methyl orange in the present of H2O2. H2O2 is the precursor of hydroxyl radicals, which are effective and highly active oxidizing species. The catalytic reaction mechanism for 1 and 2 are complicate and not very clear because the Zn(II) ion is difficult to oxidize or to reduce due to the d10 conguration. During the catalytic process, the MOFs 1 and 2 may induce H2O2 to generate cOH radicals. The cOH radical is known to have high activity to destroy the organic dyes. Transition metal-based catalysts for the Fenton and Fenton-like reaction to oxidize contaminants are main the metal–organic frameworks based the metal centers which are easy to oxidize or reduce. The d10 metal-based catalysts for the Fenton and Fentonlike reaction to oxidize contaminants are rare and usual low effective.23,25,26 Aer the catalytic degradation of the MO solution, the catalysts 1 and 2 can be separated by simple centrifugation for their insolution in water. Aer catalysis, the PXRD patterns of 1 and 2 are in good agreement with these of the original compounds implying that 1 and 2 maintains their structural integrity aer the catalysis reaction, which conrmed that their stability towards catalysis is good (Fig. S3 and S4 in ESI†).",10.1039/C4RA00531G
[(CH3)2NH2][Th2(L2)3(H2O)2]·8H2O·6DMF<|>compound 3,PACGIM,Water Stability,Unstable,,"Compounds 1 and 2 gradually loses the crystallinity when exposed to air and quickly becomes amorphous in water indicated by powder X-ray diffraction data. This is probably due to the atypical and anisotropic geometries of the thorium(IV) center in the structure, which are not thermodynamically stable states.",10.1039/C5DT04183J
[Zn(Hmpba)2]$0.5EtOH$H2O<|>compound 2<|>2,NUWVIM,Water Stability,Unstable,,"When 1 and 10 were immersed in MeOH or H2O for several days, they transformed into the more stable isomers 2 or 3, respectively (Fig. S8†). Meanwhile, 2 and 20 can also transform into 3 in H2O, but 3 is stable in common solvents (Fig. S9†). These observations are consistent with the stability trends obtained using structural analyses and MM simulations.",10.1039/C4SC01505C
HKUST-1<|>Cu3(BTC)2,BODPAN,Water Stability,Unstable,,"HKUST-1 is classified as water-unstable (structure decomposition and/or transformation) although it can maintain structural integrity in the presence of small amounts of water. The modification of HKUST-1 particles was also performed in water both with and without hydroquinone. In both cases, macroporous particles with crystalline nanofibers were obtained. The presence of hydroquinone seemed to slow down the transformation (or decomposition) of HKUST-1 particles. However, no hollow particles were formed. The XRD pattern showed that the modified structure is not of HKUST-1 nature, also with a low surface area of around 20 m2 g1. Therefore, although HKUST-1 may be modified in water to produce highly macroporous structures, the modified materials do not exhibit the original MOF properties any more. The stability of HKUST-1 and the hydroquinone-modified HKUST-1 particles was assessed by soaking them in water at room temperature for 16 h. As a result, the HKUST-1 in water completely turned into nanofibers. Whereas for the hydroquinone-modified HKUST-1, in spite of the structure being etched and made more porous, the shaped microparticles were largely maintained. This increased stability in water with modified HKUST-1 particles is an interesting observation.",10.1039/C4TA00138A
{[ZnIJbdc)IJdpds)]Ĵ0.62IJMeOH)Ĵ2H2O}n<|>1<|>1a<|>1b,GOVYOH,Water Stability,Stable,,"The processes of removal of the guest water molecules are reversible. Moreover, high thermal stability (up to 180 °C) of the framework provides the opportunity to determine the de-solvated crystal structure of 1a after removal of all the guest solvents from the framework by controlling the heating conditions and the rehydration crystal structure of 1b with the de-solvated crystal upon exposure to water vapor at RT. Single-crystal-to-singlecrystal transformation experiments were performed, which give the single-crystal X-ray structure of de-solvated {[ZnIJbdc)- IJdpds)]}n (1a) and re-hydrated {[ZnIJbdc)IJdpds)]Ĵ1.1IJH2O)}n (1b) species with very similar cell parameters (see Table S1 in the ESI† and Scheme 1). The structural determination of the de-solvated compound 1a reveals that the 3D supramolecular architecture framework is almost the same as that of 1 with the only difference of the nonexistence of methanol and water molecules. Further, when the de-solvated crystals of 1a were exposed to water vapor at RT, structural determination reveals that crystal 1a re-absorbed water molecules to generate the re-hydrated compound 1b with the formula of {[ZnIJbdc)IJdpds)]Ĵ1.1IJH2O)}n (Scheme 1), suggesting complete reversibility of de-/re-hydration processes of the 3D supramolecular architecture.",10.1039/C4CE01849D
[Ho(HCOO)(D-cam)]n<|>compound 2,PESSUD01,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents. Complexes 1–3 are air-stable and insoluble in water and common organic solvents.,10.1039/C3NJ00981E
[Er(HCOO)(D-cam)]n<|>compound 3,PESTAK01,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents. Complexes 1–3 are air-stable and insoluble in water and common organic solvents.,10.1039/C3NJ00981E
"ijCdIJ1,3-BDC)IJbmimb)]n<|>compound 3",NORZAX,Water Stability,Stable,,"Compounds 1–4 catalyze the almost complete degradation of rhodamine B (RhB) in water within around 4 h under UV-light irradiation while 2 and 3 retain their structural integrity after at least five reaction cycles. Compound 2 and 3 can be recovered from the catalytic system and reused for five catalytic cycles without obvious loss of crystallinity as revealed by PXRD analysis (Fig. 7), proving them to be robust catalysts for RhB photodegradation.",10.1039/C4CE02074J
ZnAtzOx<|>Zn2(Atz)2Ox<|>2,PUXTAF,Water Stability,Stable,,"2 possesses high hydrolytic stability towards both steam and boiling water (Fig. S2, S19 and S20, ESI†).",10.1039/C5CC08172F
[Zn9IJOH)2L6]IJH3O)2IJH2O)6<|>compound 1,GUVBOQ,Water Stability,Stable,,"The framework stability of 1 was studied and characterized by powder X-ray diffraction (PXRD). As shown in the PXRD patterns (Fig. S8, ESI†), the peak position of 1 before and after being activated at 100 °C for 5 h is in good agreement with that of the simulated pattern, indicating that 1 retains its framework integrity after the removal of the guest molecules. When the activated sample was soaked in water for 7 days, and even distilled in boiling water for 12 hours, the original crystalline phase of 1 still remained, indicating that 1 exhibits both thermodynamic and kinetic stability in the presence of water.12,18 One reason for its good water stability is probably the six-coordinated zinc atom in the center of the trinuclear MBB that is relatively robust and renders it unfavourable for an irreversible hydrolysis reaction to occur.",10.1039/C5CE01320H
ijCu3L4(CH3CN)6](ClO4)6<|>ijCu3L4(CH3CN)6](ClO4)6·19H2O·6CH3CN,DOTFID,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as acetone, benzene, chloroform, ethyl acetate, and tetrahydrofuran, but are dissociated in strong polar solvents such as acetonitrile, dimethyl sulfoxide, and N,N-dimethylformamide.",10.1039/C5CE00087D
Mg(H2L)2(H2O)2·2DMF<|>complex 1,NEYZAU,Water Stability,Stable,,"Complex 1 exhibits high solution stability. If complex 1 was immersed in CH2Cl2 or water for 8 days, then characterized by PXRD, the PXRD patterns of the samples before and after immersion in solvents are the same, as shown in Fig. S1a.†",10.1039/C3DT32380C
3∞[Ce(Im)3ImH]·ImH<|>compound 1,MOXKAN,Water Stability,Unstable,,"The luminescence is immediately and fully quenched upon addition of water in less than 3 s. The quenching, reaching λmax at 400 nm half-width <3 s, is faster than recording an emission spectrum, as proven by spectrometer parameters: range 380–650 nm, scan time 0.1 s nm−1, 1 s integration time for the overall spectrum, giving an overall recording time of 28 s. Longer interaction with water does not further change the photoluminescence behaviour (see Fig. 6). This ""turn-off"" effect arises from the hydrolysis of the MOF and thus allows an irreversible detection of water. In contrast to other water-sensitive MOFs, the high speed of the process combined with the observable parameter of luminescence intensity loss renders 1 a suitable detector for water. Irreversible detection of water can, e.g. be especially useful for detection systems that do not allow a reversible change of the detection signal, but instead rely on maintaining the detection grade for longer times. Such examples include water-sensitive pharmaceutical formulations, for which we are currently developing such sensors. For such pharmaceuticals reversible processes would enable possible unwanted re-drying and therefore a wrong detection signal. A wrong outcome of detection could easily happen as such products are not continuously monitored during storage. Accordingly, this kind of detection has to be irreversible.",10.1039/C4DT03578J
Cd(H3L)22·10.5H2O<|>2,TIXCIO,Water Stability,Stable,,"2 is not soluble in common solvents and thus, the compound with ClO4 − spontaneously encapsulated within the cages is expected to display an anion exchange property. Excess NaNO2 or NaNO3 was added to a suspension of powdered 2 in water at room temperature, and the exchanged products Cd(H3L)22·2H2O (2A) or Cd(H3L)22·2H2O (2B) were obtained. The exchanged solid, 2A (200.0 mg) or 2B (200.0 mg), was suspended in water (20 mL), and NaClO4 (2.0 g) was added respectively. The mixture was stirred for one day at room temperature, then filtered, washed with water several times, and dried in air to give 2C or 2D.",10.1039/C3DT53388C
{[NH2(CH3)2]-[Zn2(HL)L0.5]}nn(8DMF5H2O)<|>compound 1<|>1,FOMWOV,Water Stability,Unstable,,"1 is unstable in the simulated body fluid. However, after further activation by removal of methanol, the framework collapses, which is evidenced by the markedly changed XRD pattern. This may be ascribed to the fragile binuclear Zn(II) structural unit, not strong enough to strut such a large framework after removing the guest inside the cavity.",10.1039/C4CC08214A
{Ln2(C4N2O4S)3(H2O)}<|>compound 11<|>compound 12,KONFIE,Water Stability,Stable,,The as-synthesized compounds 11–12 were insoluble in water and common organic solvents.,10.1039/C4CE00858H
[Cd4(L1)6]·13H2O<|>compound 5,SOSSEA,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1039/C4DT02897J
{[Zn2IJdmtrz)2IJL1)]·6H2O}n<|>MAC-11,CUQRIR,Water Stability,Stable,,"It can retain its framework integrity in water, and shows a thermo/water-induced reversible phase transformation accompanied by a photoluminescence response from purple to blue. Furthermore, based on the isostructure of {[Zn2IJdmtrz)2IJL2)]·4H2O}n (MAC-13, H2L2 = IJE)-azobenzene-4,4′-dicarboxylic acid), a pcu-type framework of {[Zn2IJtrz)2IJL1)]·4H2O}n (MAC-14, Htrz = 1H, 1,2,4-triazole), and a layered structure of ijZnIJdmtrz)IJHCOO)] and the H2L1 ligand, the possible mechanism of the photoluminescence response to the reversible phase transformation was proposed for MAC-11. The PXRD pattern of MAC-11 matches well with the simulated one, confirming the pure crystal phase (Fig. 2). It can retain its framework integrity in different solvents, especially in water for at least two days (Fig. S7†), confirming its structural stability.",10.1039/C5CE00887E
{[H2N(CH3)2]4[Zn9O2(BTC)6(H2O)3]3DMA}n<|>1<|>1a,RUPVAB,Water Stability,Stable,,"After being immersed in deionized water and organic solvents (C2H5OH and acetone) for 12 hours, they all retain their structural integrity, which is verified by the PXRD patterns, as shown in Fig. S4 and S5 (ESI†).",10.1039/C5CC05097A
{[NH2(CH3)2][Cd(BTC)]DMA}n<|>2<|>2a,PARKUQ01,Water Stability,Stable,,"After being immersed in deionized water and organic solvents (C2H5OH and acetone) for 12 hours, they all retain their structural integrity, which is verified by the PXRD patterns, as shown in Fig. S4 and S5 (ESI†).",10.1039/C5CC05097A
{[ZnL(HCO2)]·DMF·H2O}∞<|>3,PIHREF,Water Stability,Stable,,"The solvent uptake studies of the de-solvated sample of [ZnL(HCO2)]∞ shows a remarkably high preference (about 13.5 fold) for water adsorption over methanol or ethanol. The adsorption of water shows a clear uptake step at P/Po = 0.35 and the final value at P/Po = 1.0 corresponds to ten water molecules per formula unit. The observed isotherm indicates that there is a possible adsorption-dependent structural rearrangement, which is attributed to the flexible nature of the framework. In contrast, methanol was adsorbed to a very small value corresponding to one molecule per formula unit. Ethanol in fact did not show any adsorption at all. PXRD profiles of the various resolvated (H2O, MeOH and EtOH) samples show that there is a significant change in patterns for the H2O re-solvated sample. On the other hand, the PXRD profiles of MeOH and EtOH resolvated samples resemble closely that of 3a (Fig. 5 and Fig. S10, ESI†). This could be due to the smaller size of the water molecules, as they can undergo a better diffusion inside the pores than the alcohols and can cause a minor structural deformation. Also, the amino protons in 3 can more effectively participate in H-bonding with water than with alcohols, favouring the adsorption of water vapour over alcohols.",10.1039/C3DT51123E
C13H19N7O6Zn2<|>1<|>1a<|>I2@1,MOPFOO,Water Stability,Stable,,"After soaking 1–5 in water for 24 h at ambient temperature and 100 °C, their XRPD patterns keep the same peak positions although their solid samples become not too transparent (Fig. S4†).",10.1039/C4TA01749H
[La(BTN)DMF]$solvent<|>PCP-1Iguest,CIQQIE,Water Stability,Stable,,"1. ""The water and chemical stability of PCP-1 was examined by soaking the as-synthesized samples in harsh conditions: hot (100 -C) aqueous HCl (pH ¼ 2), aqueous NaOH (pH ¼ 12) and water solutions for one day. Aer cooling, the wet samples were checked by PXRD, which indicated the crystalline nature of the framework.""
2. ""The gas uptake of the treated PCP-1 (pH ¼ 2 and 12) decreased a little, however, importantly, both the uptakes and shape of PCP-1 (pH ¼ 7) are nearly identical with that of the fresh sample, exhibiting its high water and chemical stability.""
3. ""Moreover, the gas uptakes of the treated PCP-1 are also almost the same at different temperatures, indicating high moisture stability of degassed PCP-1.""",10.1039/C3SC52177J
437-MOF<|>{In(BTTB)2/3(OH)5(H2O)4}n,PODGEW01,Water Stability,Stable,,"1. ""437-MOF, however, remains highly stable in cool water for weeks, and is even stable in boiling water for a short period of time.""
2. ""The structural resistance of 437-MOF against common organic solvents and acidic or basic solutions has also been confirmed.""
3. ""437-MOF shows considerable chemical stability toward boiling water and, according to its crystal structure, the channel walls will be hydrophobic; this is confirmed by vapor adsorption analysis.""",10.1039/C4TA00963K
{[Gd(OH)(H2O)(abtc)0.5]$H2O}n<|>1,DUDZOT,Water Stability,Stable,,"1. ""1 exhibits excellent chemical stability in common solvents as well:...The PXRD pattern suggests that the framework of 1 is also stable aer being soaked in boiling water for one week (Fig. 2a).""
2. ""The results show that the framework of 1 can be sustained in aqueous solutions ranging from pH = 1 to pH = 13 for more than a week (Fig. 2c).""",10.1039/C4TA06209D
Ce-UiO-66-Fum<|>Ce-UiO-66-Fumarate,BUPVEP,Water Stability,Unstable,,"Ce-UiO-66-Fum is similarly stable in organic solvents, though it is more susceptible to degradation. The longer linker containing Ce-UiO-66-NDC and -BPDC are stable in aprotic organic solvents. However in water, ethanol and under air both compounds show a slow continuous loss of intensity in the diffraction pattern.",10.1039/c5cc02606g
CdBTTB,GOSDEZ,Water Stability,Unstable,,"1. ZnBTTB and CdBTTB degrade completely after exposure to 90% relative humidity (RH). The instability of ZnBTTB is due to the four-coordinated zinc carboxylate system similar to MOF-5. Similarly, CdBTTB is also unstable as Cd2+ ions have coordination number of 4 when the MOF is activated (desolvated).
2. The PXRD patterns of ZnBTTB and CdBTTB confirm the decomposition of MOF structures upon water exposure. Most of the peaks have disappeared, and the amorphous background has increased.
3. Collapse of CdBTTB and ZnBTTB is also confirmed from the surface area (100% loss) measurements (Table 1).",10.1039/C4TA01372G
ZnBTTBBDC,GOSDID,Water Stability,Unstable,,"Unlike CdBTTB and ZnBTTB, the structure of ZnBTTBBDC has not degraded significantly. ZnBTTBBDC has three different dimetal-carboxylate clusters (high nuclearity of 6 Zn(II) ions in the SBU). The coordination modes of 6 Zn(II) ions in the SBU show diversity, i.e., Zn1, Zn3, and Zn6 are coordinated by four oxygen atoms in a tetrahedral geometry, while Zn2, Zn4, and Zn5 are in a distorted octahedral geometry bonded by six oxygen atoms (Fig. S5, ESI†). Low et al.25 showed that MOFs with 6-coordinated metal ions tend to be more water stable than those with 4-coordinated metal ions. Moreover, UiO-66 materials have also been shown to be water stable due to high coordination number (8-coordinated) and high nuclearity of the Zr-based SBU (6 Zr(IV) ions in the SBU).28–31 The PXRD pattern of ZnBTTBBDC aer water adsorption experiments and regeneration still shows some of the initial XRD peaks, but other peaks have disappeared, indicating loss of crystallinity and partial collapse of the structure (Fig. 3). BET analysis of the regenerated sample gives surface area loss (Table 1) of 50%, which is consistent with the partial collapse of the structure as indicated by PXRD.",10.1039/C4TA01372G
cis-Mg(dhbq)(H2O)2·2H2O·2.5MeOH<|>crankshaft-like chains,ZACFOB,Water Stability,Unstable,,"Elemental analysis of air-dried crystals of the cis-Mg(dhbq)(H2O)2·2H2O·2.5MeOH crankshaft chains (ESI, S.1†) indicates that upon removal of the sample from its mother liquor, practically all the channel solvent molecules are lost. Powder X-ray diffraction measurements performed on a sample of air-dried cis-Mg(dhbq)(H2O)2·2H2O·2.5MeOH reveals the powder pattern no longer resembles the pattern expected for the crankshaft chains, but instead matches the diffraction pattern of the trans-Mg(dhbq)(H2O)2 strip-like chains observed by H. Kitagawa et al. and shown above in Fig. 1.",10.1039/C5DT04095G
{[Cd(CF3-bdc)(bpy)1.5]?1.5H2O}n<|>1<|>1a,YIHBIC,Water Stability,Stable,,"The framework retains high integrity after losing the solvent water though there are some slight differences between the PXRDs of 1 and 1a (Fig. 6b–6e). Furthermore, it pulverized slowly when 1a was suspended in water vapor for 2 h, whereas the PXRD pattern of the pulverized sample is in good agreement with that of 1 (Fig. 6a).",10.1039/c3ce40109j
[EuL(HCO2)(DMF)]n<|>1,NUCYAN,Water Stability,Stable,,"Crystals of 1–3 are all air-stable and insoluble in common solvents, such as water, (CH3)2CO, CH3OH, C2H5OH, CH3CN, and DMF.",10.1039/C5DT00602C
[GdL(HCO2)(DMF)]n<|>2,NUCYER,Water Stability,Stable,,"Crystals of 1–3 are all air-stable and insoluble in common solvents, such as water, (CH3)2CO, CH3OH, C2H5OH, CH3CN, and DMF. Single-crystal X-ray diffraction analyses reveal that LOFs 1–3 are isomorphous and exhibit the same structural topology (Table 1).",10.1039/C5DT00602C
[DyL(HCO2)(DMF)]n<|>3,NUCYIV,Water Stability,Stable,,"Crystals of 1–3 are all air-stable and insoluble in common solvents, such as water, (CH3)2CO, CH3OH, C2H5OH, CH3CN, and DMF.",10.1039/C5DT00602C
TbMOF–COOH<|>[Tb(Hbtca)(H2O)2]·H2O,SOQHIR,Water Stability,Stable,,"The solid TbMOF–COOH samples after immersed in different metal ion aqueous solution during the above sensing process only minimally impacts the crystalline integrity of TbMOF–COOH. Additionally, we also investigated the sensing selectivity of the TbMOF–COOH to Fe3+ ions in the presence of several other co-existed cationic species (5 mL, 0.01 M for each metal ions, Mz+ ¼ Ni2+, Ca2+, Zn2+, Cd2+, Fe2+ and Mg2+). As it is described in Fig. 5, the luminescence intensities of TbMOF–COOH is almost not affected by the mixed cations, but the luminescence nearly disappeared upon the addition of Fe3+ (0.01 mol L-1 in the aqueous solution).",10.1039/C4RA10153G
(NH4)5[MnII2CrIII3(ox)9]10H2O<|>compound 1,HOGJUK,Water Stability,Unstable,,"The dehydration–rehydration process of 1 leads to a partial loss of crystallinity (Fig. S4, ESI‡). Moreover, the architecture exhibits wide channels filled with water and ammonium molecules. These guests are responsible for a high proton conductivity of the compound. In addition, this proton conductor displays a long-range magnetic ordering with TN = 6 K.",10.1039/C4CC00607K
PMOF-4<|>Zn28L112(H2O)288,YODWOF,Water Stability,Unstable,,"Although the MOFs have a large amount of solvent molecules in their potential pores (Fig. S5†), the removal of the solvent molecules from the pore via either a conventional vacuumdrying process or a supercritical CO2 activation processresults in the complete loss of crystallinity and the collapse of the porosity, leaving no significant N2 sorption properties.",10.1039/C4CE00017J
PMOF-5<|>Zn28L212(H2O)288,YODWUL,Water Stability,Unstable,,"Although the MOFs have a large amount of solvent molecules in their potential pores (Fig. S5†), the removal of the solvent molecules from the pore via either a conventional vacuumdrying process or a supercritical CO2 activation process results in the complete loss of crystallinity and the collapse of the porosity, leaving no significant N2 sorption properties.",10.1039/C4CE00017J
ROD-6<|>[Mn2(TBAPy)(H2O)2]DMFH2O,WOBQEL,Water Stability,Stable,,"The crystalline sample of ROD-6 is also resistant to hydrolysis at room temperature. After being suspended in water, hydrochloric acid solution (pH = 2) or sodium hydroxide solution (pH = 11) at room temperature for 12 h, the samples can retain their crystallinity, indicating that the framework does not collapse due to hydrolysis.",10.1039/C3CC49684H
medi-MOF-1,CUBBEI,Water Stability,Unstable,,medi-MOF-1 is unstable in water and phosphate-buffered saline (PBS buffer).,10.1039/C4CC10159F
[DyNaL(H2O)4]6H2O<|>(S)-1<|>1,FIDRIV,Water Stability,Stable,,"The product was stable in air and insoluble in water and common organic solvents. The adsorbent 1 could be recovered and used repeatedly without the deterioration of enantioselectivity for the subsequent three runs (90.7, 89.3, 87.7 and 88.5% ee for runs 1–4, respectively). PXRD indicated that 1 remained highly crystalline after four cycles. After removal of included D- and L-methyl mandelate, the recycled 1 exhibited a BET surface area of 419.6 and 402.4 m2 g1, respectively, further confirming its framework stability and permanent porosity.",10.1039/C3CC43549K
[Co2(Hbppc)(bix)2]·2H2O<|>6,AHOBEG,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1039/C5DT02147B
"catena-{(μ2-adipato-O,O′)-bisIJpyridine-4-aldoxime)-copperIJII)}<|>ijCuIJadi)IJ4-pyao)2]n<|>compound 1",COVVAM,Water Stability,Unstable,,"Crystals are soluble in alcohols, dmf, and partially in water.",10.1039/C4CE02444C
{[Cd(3-IPT)2(H2O)2]·H2O}n<|>compound 1,GOWZEZ,Water Stability,Unstable,,"When the powders of crystals 2 or 3 were immersed in water for 4 days at 170 °C under hydrothermal reaction conditions, the original compound was transformed into compound 1 as confirmed by PXRD (Fig. 10). The PXRD of the recrystallized product was basically coincident with that of 1, indicating that the structure of 2 or 3 was largely converted to that of 1. Such conversions are also accomplished at 120 °C but with prolonged time (1 week). However, compound 1 was found to remain stable and cannot reconvert to 2 or 3. The conversion between 2 and 3 is difficult to perform directly because they are easier to convert to 1 when recrystallized. Starting with powder as the initial material, the powder of 2 or 3 is transformed into crystals of 1 and the transformation is accompanied by significant structural changes. We propose that the structure transformation is a solvent mediated process.9a The structure transformation results further confirm that 1 is the most thermodynamically stable.11a",10.1039/C4CE01779J
{[Cd(3-IPT)2(H2O)2]·2H2O}n<|>compound 3,GOWZOJ,Water Stability,Unstable,,"After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals. The conversion between 2 and 3 is difficult to perform directly because they are easier to convert to 1 when recrystallized. Starting with powder as the initial material, the powder of 2 or 3 is transformed into crystals of 1 and the transformation is accompanied by significant structural changes.",10.1039/C4CE01779J
[Cd(3-IPT)(H2O)Cl]n<|>compound 4,GOWZUP,Water Stability,Unstable,,"The conversion from other compounds such as 1 and 5 to compounds 6–7 or compound 8 by recrystallization in KI or CH3COONa failed. In the former, the initial compounds tend to dissolve (may be due to the formation of IJCdI2)n species), whereas in the latter they tend to form unknown products (may be inorganic salts).",10.1039/C4CE01779J
[Cd(3-IPT)Cl]n<|>compound 5,GOXBAY,Water Stability,Unstable,,"When the powders of crystal 2, 3, mixture of 6 and 7, or 8 were immersed in water containing 10 mM NaCl for 4 days at 170 °C under hydrothermal reaction conditions, the original compounds were transformed into compound 5 or a mixture of compounds 1 and 5 as confirmed by PXRD. Since the high Cl− concentration is responsible for the formation of 5, it is reasonable to think that structure conversion may occur if 5 was recrystallized in H2O because the Cl− concentration will decrease when it dissolves. Indeed, when the powders of 5 were immersed in water at 120 °C and 170 °C for 4 days, compound 5 was partly transformed into 2 and completely transformed into 1, respectively, which means that the water molecules win the coordination competition again.",10.1039/C4CE01779J
Co-ZIF-81,RIRDIH,Water Stability,Stable,,"Examination of chemical stability was performed by heating the as-synthesized samples in water for 5 days. Remarkably, all retained their structures under this condition as evidenced by the sharp unshifted diffraction lines in their PXRD patterns (Section S5 in the ESI†).",10.1039/C3CE42075B
Co-ZIF-69,RIRDED,Water Stability,Stable,,"Examination of chemical stability was performed by heating the as-synthesized samples in water for 5 days. Remarkably, all retained their structures under this condition as evidenced by the sharp unshifted diffraction lines in their PXRD patterns (Section S5 in the ESI†).",10.1039/C3CE42075B
NH2-MIL-88B(Fe)<|>CAF@NH2-MIL-88B(Fe)_IN<|>CAF@NH2-MIL-88B(Fe)_EX,XIVMEW,Water Stability,Unstable,,"When the synthesis of the MOF was carried out in the absence of caffeine, a NH2-MIL-53(Fe) framework was obtained. In consequence, it can be said that caffeine played the role of a structure directing agent or template. A second role of caffeine relates to its contribution to the liquid phase stability of the MOF, as demonstrated through the slower release of the structural ligand from CAF@NH2-MIL-88B(Fe) than from NH2- MIL-88B(Fe).",10.1039/C3TB21707H
[Cu(H2O)(2-BTP)]<|>compound 1,LONRAJ,Water Stability,Unstable,,"Compared with the dissolution of the crystalline sample of 1 in pure water, the dissolution in 0.1 M Pb(NO3)2 increases slightly in the cases of method-1 (0.88% vs. 0.65% in water) and method-3 (3.43% vs. 2.25% in water), but decreases slightly in the case of method-2 (1.66% vs. 1.84% in water).",10.1039/C4CC03774J
